epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
1,1e-05,128,100,5,9.99,50.47955578
1,1e-05,128,100,6,9.99,49.28536225
1,1e-05,128,100,7,9.99,49.45598417
1,1e-05,128,100,8,9.99,50.50505051
1,1e-05,128,100,9,9.99,50
1,1e-05,512,0.1,0,40.33,49.90118577
1,1e-05,512,0.1,1,40.33,50.75150301
1,1e-05,512,0.1,2,40.33,50.42864347
1,1e-05,512,0.1,3,40.33,50.25125628
1,1e-05,512,0.1,4,40.33,50.1754386
1,1e-05,512,0.1,5,40.33,50.37859667
1,1e-05,512,0.1,6,40.33,49.28536225
1,1e-05,512,0.1,7,40.33,49.15924827
1,1e-05,512,0.1,8,40.33,50.50505051
1,1e-05,512,0.1,9,40.33,50.15
1,1e-05,512,10,0,22.41,49.40711462
1,1e-05,512,10,1,22.41,50.1002004
1,1e-05,512,10,2,22.41,50.42864347
1,1e-05,512,10,3,22.41,50.25125628
1,1e-05,512,10,4,22.41,50.12531328
1,1e-05,512,10,5,22.41,50.47955578
1,1e-05,512,10,6,22.41,49.28536225
1,1e-05,512,10,7,22.41,49.45598417
1,1e-05,512,10,8,22.41,50.50505051
1,1e-05,512,10,9,22.41,50
1,1e-05,512,100,0,10.71,49.40711462
1,1e-05,512,100,1,10.71,50.1002004
1,1e-05,512,100,2,10.71,50.42864347
1,1e-05,512,100,3,10.71,50.25125628
1,1e-05,512,100,4,10.71,50.12531328
1,1e-05,512,100,5,10.71,50.47955578
1,1e-05,512,100,6,10.71,49.28536225
1,1e-05,512,100,7,10.71,49.45598417
1,1e-05,512,100,8,10.71,50.50505051
1,1e-05,512,100,9,10.71,50
10,1e-05,32,0.1,0,47.14,51.33399209
10,1e-05,32,0.1,1,47.14,53.95791583
10,1e-05,32,0.1,2,47.14,51.03378719
10,1e-05,32,0.1,3,47.14,51.85929648
10,1e-05,32,0.1,4,47.14,51.87969925
10,1e-05,32,0.1,5,47.14,51.74154467
10,1e-05,32,0.1,6,47.14,52.0946279
10,1e-05,32,0.1,7,47.14,52.02769535
10,1e-05,32,0.1,8,47.14,52.12121212
10,1e-05,32,0.1,9,47.14,52.5
10,1e-05,32,10,0,33.77,48.51778656
10,1e-05,32,10,1,33.77,51.60320641
10,1e-05,32,10,2,33.77,49.72264246
10,1e-05,32,10,3,33.77,50.25125628
10,1e-05,32,10,4,33.77,50.02506266
10,1e-05,32,10,5,33.77,50.98435134
10,1e-05,32,10,6,33.77,49.0882208
10,1e-05,32,10,7,33.77,49.55489614
10,1e-05,32,10,8,33.77,50.85858586
10,1e-05,32,10,9,33.77,50.05
10,1e-05,32,100,0,15.74,49.40711462
10,1e-05,32,100,1,15.74,50.1002004
10,1e-05,32,100,2,15.74,50.42864347
10,1e-05,32,100,3,15.74,50.25125628
